MemTotal:        1005820 kB
MemFree:          253548 kB
MemAvailable:     469188 kB
Buffers:               0 kB
Cached:           288388 kB
SwapCached:         5340 kB
Active:           162476 kB
Inactive:         260740 kB
Active(anon):      50688 kB
Inactive(anon):    82284 kB
Active(file):     111788 kB
Inactive(file):   178456 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:        499996 kB
SwapFree:         489244 kB
Dirty:               276 kB
Writeback:             0 kB
AnonPages:        130116 kB
Mapped:            49816 kB
Shmem:               232 kB
Slab:             159124 kB
SReclaimable:     105888 kB
SUnreclaim:        53236 kB
KernelStack:        2780 kB
PageTables:         6688 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1002904 kB
Committed_AS:     982020 kB
VmallocTotal:   34359738367 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       81920 kB
DirectMap2M:      966656 kB
