MemTotal:        1005820 kB
MemFree:          346656 kB
MemAvailable:     464744 kB
Buffers:               0 kB
Cached:           212260 kB
SwapCached:         8068 kB
Active:           275260 kB
Inactive:         142948 kB
Active(anon):     156132 kB
Inactive(anon):    49920 kB
Active(file):     119128 kB
Inactive(file):    93028 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:        499996 kB
SwapFree:         459548 kB
Dirty:               252 kB
Writeback:             0 kB
AnonPages:        199748 kB
Mapped:            51396 kB
Shmem:               104 kB
Slab:             137788 kB
SReclaimable:      67216 kB
SUnreclaim:        70572 kB
KernelStack:        3068 kB
PageTables:         7764 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1002904 kB
Committed_AS:    1196384 kB
VmallocTotal:   34359738367 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       86016 kB
DirectMap2M:      962560 kB
