MemTotal:        1005820 kB
MemFree:          152128 kB
MemAvailable:     148996 kB
Buffers:               0 kB
Cached:           100068 kB
SwapCached:         6524 kB
Active:           459016 kB
Inactive:         205468 kB
Active(anon):     411700 kB
Inactive(anon):   152896 kB
Active(file):      47316 kB
Inactive(file):    52572 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:        499996 kB
SwapFree:         452124 kB
Dirty:               308 kB
Writeback:             0 kB
AnonPages:        559328 kB
Mapped:            59196 kB
Shmem:               180 kB
Slab:              79876 kB
SReclaimable:      36592 kB
SUnreclaim:        43284 kB
KernelStack:        4204 kB
PageTables:        11900 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1002904 kB
Committed_AS:    1812620 kB
VmallocTotal:   34359738367 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       94208 kB
DirectMap2M:      954368 kB
